Check for Updates...	Zkontrolovat aktualizace...
Below left	Vlevo pod
Below centered	Uprostřed pod
Below right	Vpravo pod
Centered	Uprostřed
Preserve	Zachovat
Replace	Nahradit
Collapse	Skrýt všechno
No	Ne
Keep Ratio	Zachovat poměr
Fit to Size	Přizpůsobit velikosti
Left-to-right	Zleva doprava
Right-to-left	Zprava doleva
Use superordinate object settings	Použít nastavení nadřazeného objektu
Never	Nikdy
When focused	Při zaměření
Always	Vždy
To Paragraph	K odstavci
As Character	Jako znak
To Page	Ke stránce
To Frame	K rámci
To Character	Ke znaku
To Page	Ke stránce
To Cell	K buňce
Edit mask	Upravit masku
Literal mask	Znaková maska
Read-only	Jen pro čtení
Enabled	Zapnuto
Visible	Viditelné
AutoFill	Automatické vyplňování
Line count	Počet řádek
Max. text length	Maximální délka textu
Spin Button	Rolovací tlačítko
Strict format	Přesný formát
Thousands separator	Oddělovač tisíců
Printable	Tisknutelná
URL	URL
Frame	Rámec
Help text	Pomocný text
Help URL	URL nápovědy
Additional information	Další informace
Password character	Znak hesla
Tristate	Trojstav
Empty string is NULL	Prázdný řetězec je NULL
Decimal accuracy	Desetinná přesnost
Graphics	Obrázek
Default selection	Výchozí výběr
Default button	Výchozí tlačítko
Label Field	Popisek
Label	Popisek
Alignment	Zarovnání
Vert. Alignment	Svislé zarovnání
Graphics alignment	Zarovnání obrázku
Font	Písmo
Background color	Barva pozadí
Border	Ohraničení
Icon size	Velikost ikony
Positioning	Umístění
Navigation	Navigace
Acting on a record	Činnost na záznamu
Filtering / Sorting	Filtrování/řazení
Horizontal scroll bar	Vodorovný posuvník
Vertical scroll bar	Svislý posuvník
Word break	Zalomení slova
Multiline input	Víceřádkový vstup
Multiselection	Vícenásobný výběr
Name	Název
Group name	Název skupiny
Tab order	Pořadí aktivace
Mouse wheel scroll	Posun kolečkem myši
Filter	Filtr
Sort	Řadit
Record marker	Značka záznamu
Filter proposal	Návrh filtru
Navigation bar	Lišta navigace
Cycle	Cyklus
Tabstop	Krok tabulátoru
Data field	Datové pole
Dropdown	Rozbalovací
Bound field	Svázané pole
List content	Obsah seznamu
Type of list contents	Druh obsahu seznamu
Content	Obsah
Content type	Typ obsahu
Allow additions	Povolit přidávání
Allow deletions	Povolit mazání
Allow modifications	Povolit změny
Add data only	Pouze přidat data
Data source	Zdroj dat
Link master fields	Propojit hlavní pole
Link slave fields	Propojit závislá pole
Value min.	Min. hodnota
Value max.	Max. hodnota
Incr./decrement value	Zvýšit/snížit hodnotu
Currency symbol	Symbol měny
Date min.	Min. datum
Date max.	Max. datum
Date format	Formát data
Selection	Výběr
Time min.	Min. čas
Time max.	Max. čas
Time format	Formát času
Prefix symbol	Symbol pro předponu
Value	Hodnota
Formatting	Formátování
Class ID	ID třídy
Height	Výška
Width	Šířka
Auto grow	Automaticky
List index	Index seznamu
Row height	Výška řádku
Fill color	Barva výplně
Line color	Barva čáry
Reference value (on)	Referenční hodnota (zap)
Reference value (off)	Referenční hodnota (vyp)
List entries	Položky seznamu
Action	Činnost
URL	URL
Type of submission	Typ odeslání
Default status	Výchozí stav
Submission encoding	Kódování pro odeslání
Default value	Výchozí hodnota
Default text	Výchozí text
Default date	Výchozí datum
Default time	Výchozí čas
Frame	Rámec
Fill parameters	Vyplnit parametry
Execute action	Provést akci
After updating	Po aktualizaci
Before updating	Před aktualizací
Before record action	Před záznamem
After record action	Po záznamu
Confirm deletion	Potvrdit odstranění
Error occurred	Došlo k chybě
When receiving focus	Při zaměření
When losing focus	Při ztrátě zaměření
Item status changed	Změna stavu položky
Key pressed	Klávesa stisknuta
Key released	Klávesa uvolněna
When loading	Při načítání
Before reloading	Před opětovným načtením
When reloading	Při opětovném načtení
Mouse moved while key pressed	Myš se pohnula spolu se stisknutou klávesou
Mouse inside	Myš uvnitř
Mouse outside	Myš vně
Mouse moved	Posuv myši
Mouse button pressed	Stisknuto tlačítko myši
Mouse button released	Uvolněno tlačítko myši
Before record change	Před změnou záznamu
After record change	Po změně záznamu
After resetting	Po přenastavení
Prior to reset	Před přenastavením
Approve action	Schválit akci
Before submitting	Před odesláním
Text modified	Text změněn
Before unloading	Před uvolněním
When unloading	Při uvolnění
Changed	Změněno
Events	Události
Analyze SQL command	Analyzovat SQL příkaz
PositionX	PoziceX
PositionY	PoziceY
Title	Nadpis
Page (step)	Stránka (krok)
Progress value	Hodnota průběhu
Progress value min.	Min. hodnota průběhu
Progress value max.	Max. hodnota průběhu
Scroll value	Hodnota posunu
Scroll value max.	Max. hodnota posunu
Scroll value min.	Min. hodnota posunu
Scroll width	Šířka posuvníku
Scroll height	Výška posuvníku
Scroll top	Pozice shora
Scroll left	Pozice zleva
Default scroll value	Výchozí hodnota posunu
Small change	Malá změna
Large change	Velká změna
Delay	Prodleva
Repeat	Opakovat
Visible size	Viditelná velikost
Orientation	Orientace
While adjusting	Při úpravě
Date	Datum
State	Stav
Time	Čas
Scale	Měřítko
Button type	Typ tlačítka
"The connection to the data source ""$name$"" could not be established."	"Nepodařilo se připojit ke zdroji dat ""$name$""."
Text	Text
Linked cell	Propojená buňka
Source cell range	Oblast zdrojových buněk
Contents of the linked cell	Obsah propojené buňky
Symbol color	Barva symbolu
Text lines end with	Textové řádky zakončeny
Toggle	Přepnout
Take Focus on Click	Při kliknutí získat zaměření
Hide selection	Skrýt výběr
Style	Styl
Wrap text automatically	Automaticky zalomit text
Text type	Typ textu
XML data model	Datový model XML
Binding expression	Vazební výraz
Required	Vyžadováno
List entry source	Zdroj seznamu
Relevant	Relevantní
Read-only	Jen pro čtení
Constraint	Omezení
Calculation	Výpočet
Data type	Datový typ
Whitespaces	Prázdné znaky
Scrollbars	Posuvníky
Pattern	Vzorek
Length	Délka
Length (at least)	Délka (nejméně)
Length (at most)	Délka (nejvíce)
Digits (total)	Číslice (celkem)
Digits (fraction)	Číslice (zlomek)
Max. (inclusive)	Max. (včetně)
Max. (exclusive)	Max. (kromě)
Min. (inclusive)	Min. (včetně)
Min. (exclusive)	Min. (kromě)
Submission	Odeslání
Binding	Vazba
Selection type	Druh výběru
Root displayed	Zobrazit kořen
Show handles	Zobrazit úchyty
Show root handles	Zobrazit úchyt kořene
Editable	Upravitelné
Invokes stop node editing	Vyvolá konec editace
With title bar	Se záhlavím
No Label	Bez popisku
Border color	Barva ohraničení
Input required	Požadován vstup
Text direction	Směr textu
Anchor	Ukotvení
Regular	Běžné
Bold Italic	Tučná kurzíva
Italic	Kurzíva
Bold	Tučné
(Default)	(Výchozí)
URL	URL
Selection Type	Typ výběru
Use grid line	Použít čáru mřížky
Grid line color	Barva čáry mřížky
Show column header	Zobrazit záhlaví sloupce
Show row header	Zobrazit záhlaví řádku
Header background color	Barva pozadí záhlaví
Header text color	Barva textu záhlaví
Active selection background color	Barva pozadí aktivního výběru
Active selection text color	Barva textu aktivního výběru
Inactive selection background color	Barva pozadí neaktivního výběru
Inactive selection text color	Barva textu neaktivního výběru
Default	Výchozí
General	Obecné
Data	Data
<Embedded-Image>	<vložený-obrázek>
Text	Text
"Do you want to delete the data type '#type#' from the model?
Please note that this will affect all controls which are bound to this data type."	"Chcete z modelu smazat datový typ '#type#'?
Tím ovlivníte všechny ovládací prvky, které jsou navázány na tento datový typ."
Button	Tlačítko
Option Button	Tlačítko volby
Check Box	Zaškrtávací pole
Label Field	Popisek
Group Box	Seskupení
Text Box	Textové pole
Formatted Field	Formátované pole
List Box	Seznam
Combo Box	Pole se seznamem
Image Button	Obrázkové tlačítko
Hidden Control	Skrytý ovládací prvek
Control (unknown type)	Ovládací prvek (neznámý)
Image Control	Ovládací pole obrázku
File Selection	Výběr souboru
Date Field	Pole pro datum
Time Field	Pole pro čas
Numeric Field	Číselné pole
Currency Field	Měnové pole
Pattern Field	Pole vzorku
Table Control 	Prvek tabulky 
Sub Form	Podformulář
Master Form	Hlavní formulář
The columns of '#' could not be retrieved.	Nelze získat sloupce '#'.
Forms	Formuláře
Checking...	Kontrola...
Checking for an update failed.	Kontrola aktualizací se nezdařila.
%PRODUCTNAME %PRODUCTVERSION is up to date.	%PRODUCTNAME %PRODUCTVERSION je aktuální.
"%PRODUCTNAME %NEXTVERSION is available.

The installed version is %PRODUCTNAME %PRODUCTVERSION.

Note: Before downloading an update, please ensure that you have sufficient access rights to install it.
A password, usually the administrator's or root password, may be required."	"K dispozici je %PRODUCTNAME %NEXTVERSION.

Aktuálně je nainstalována verze %PRODUCTNAME %PRODUCTVERSION.

Poznámka: Před stažením aktualizace se ujistěte, zda máte dostatečná oprávnění k instalaci.
Může být vyžadováno heslo, obvykle heslo administrátora nebo správce."
Check for Updates	Kontrola aktualizací
Downloading %PRODUCTNAME %NEXTVERSION paused at...	Stahování %PRODUCTNAME %NEXTVERSION pozastaveno na...
Downloading %PRODUCTNAME %NEXTVERSION stalled at	Stahování %PRODUCTNAME %NEXTVERSION přerušeno na
"The download location is: %DOWNLOADPATH.

Under Tools – Options... - %PRODUCTNAME – Online Update you can change the download location."	"Adresář pro uložení staženého souboru: %DOWNLOADPATH.

Adresář můžete změnit v Nástroje - Možnosti... - %PRODUCTNAME - Online aktualizace."
%FILENAME has been downloaded to %DOWNLOADPATH.	Soubor %FILENAME byl stažen do adresáře %DOWNLOADPATH.
"The automatic download of the update is currently not available.

Click 'Download...' to download %PRODUCTNAME %NEXTVERSION manually from the web site."	"Automatické stažení aktualizace momentálně není k dispozici.

Kliknutím na 'Stáhnout...' ručně stáhnete %PRODUCTNAME %NEXTVERSION z webové stránky."
Downloading %PRODUCTNAME %NEXTVERSION...	Stahuje se %PRODUCTNAME %NEXTVERSION...
Download of %PRODUCTNAME %NEXTVERSION completed. Ready for installation.	Stahování %PRODUCTNAME %NEXTVERSION dokončeno. Připraveno k instalaci.
Do you really want to cancel the download?	Opravdu chcete stahování zrušit?
To install the update, %PRODUCTNAME %PRODUCTVERSION needs to be closed. Do you want to install the update now?	Před instalací aktualizace je třeba zavřít %PRODUCTNAME %PRODUCTVERSION. Chcete nyní nainstalovat aktualizaci?
Could not run the installer application, please run %FILENAME in %DOWNLOADPATH manually.	Instalátor nelze spustit, spusťte soubor %FILENAME v adresáři %DOWNLOADPATH ručně.
A file with that name already exists! Do you want to overwrite the existing file?	Soubor s tímto názvem již existuje! Chcete existující soubor přepsat?
A file with the name '%FILENAME' already exists in '%DOWNLOADPATH'! Do you want to continue with the download or delete and reload the file?	Soubor pojmenovaný '%FILENAME' již v adresáři '%DOWNLOADPATH' existuje! Chcete pokračovat ve stahování nebo soubor smazat a stáhnout znovu?
Reload File	Stáhnout znovu
Continue	Pokračovat
%PERCENT%	%PERCENT%
Status	Stav
Description	Popis
Close	Zavřít
Download	Stáhnout
Install	Instalovat
Pause	Pozastavit
Resume	Pokračovat
Cancel	Zrušit
%PRODUCTNAME update available	Je k dispozici aktualizace %PRODUCTNAME
Click the icon to start the download.	Spustit stahování.
%PRODUCTNAME update available	Je k dispozici aktualizace %PRODUCTNAME
Click the icon for more information.	Podrobnosti zobrazíte kliknutím na ikonu.
%PRODUCTNAME update available	Je k dispozici aktualizace %PRODUCTNAME
Download of update begins.	Začíná stahování aktualizace.
Download of update in progress	Probíhá stahování aktualizace
Click the icon to pause.	Stahování pozastavíte kliknutím na ikonu.
Download of update paused	Stahování aktualizace pozastaveno
Click the icon to resume.	Stahování obnovíte kliknutím na ikonu.
Download of update stalled	Stahování aktualizace přerušeno
Click the icon for more information.	Podrobnosti zobrazíte kliknutím na ikonu.
Download of update completed	Stahování aktualizace dokončeno
Click the icon to start the installation.	Instalaci spustíte kliknutím na ikonu.
Updates for extensions available	K dispozici jsou aktualizace rozšíření
Click the icon for more information.	Podrobnosti zobrazíte kliknutím na ikonu.
The SANE interface could not be initialized. Scanning is not possible.	Nelze inicializovat rozhraní SANE. Skenování není dostupné.
The device does not offer a preview option. Therefore, a normal scan will be used as a preview instead. This may take a considerable amount of time.	Toto zařízení nenabízí možnost náhledu, tudíž bude pro náhled použito normální skenování, což může zabrat delší dobu.
An error occurred while scanning.	Během skenování došlo k chybě.
"Device: %s
Vendor: %s
Model: %s
Type: %s"	"Zařízení: %s
Dodavatel: %s
Model: %s
Typ: %s"
Bibliography Database	Seznam použité literatury
Do you want to edit the column arrangement?	Přejete si upravit uspořádání sloupců?
<none>	<nic>
"The following column names could not be assigned:
"	"Následující názvy sloupců nelze přiřadit:
"
Article	Článek
Book	Kniha
Brochures	Příručky
Conference proceedings article (BiBTeX)	Článek ve sborníku z konference (BiBTeX)
Book excerpt	Výtah z knihy
Book excerpt with title	Výtah z knihy s nadpisem
Conference proceedings article	Článek ve sborníku z konference
Journal	Časopis
Techn. documentation	Technická dokumentace
Thesis	Diplomová práce
Miscellaneous	Různé
Dissertation	Disertace
Conference proceedings	Sborník z konference
Research report	Výzkumná zpráva
Unpublished	Nepublikováno
Email	E-mail
WWW document	WWW dokument
User-defined1	Uživatelem definované 1
User-defined2	Uživatelem definované 2
User-defined3	Uživatelem definované 3
User-defined4	Uživatelem definované 4
User-defined5	Uživatelem definované 5
General	Obecné
Address Book Data Source Wizard	Průvodce zdrojem dat adresáře
Address Book Type	Typ adresáře
Connection Settings	Nastavení spojení
Table Selection	Výběr tabulky
Field Assignment	Přiřazení polí
Data Source Title	Název zdroje dat
Please select a type of address book.	Zvolte typ adresáře.
"The data source does not contain any tables.
Do you want to set it up as an address data source, anyway?"	"Zvolený zdroj dat neobsahuje žádné tabulky.
Přejete si jej přesto použít jako zdroj adres?"
"You don't seem to have any GroupWise account configured in Evolution.
Do you want to set it up as an address data source, anyway?"	"V Evolution zřejmě není nastaven žádný účet GroupWise.
Přejete si jej přesto použít jako zdroj adres?"
Addresses	Adresy
Create Address Data Source	Vytvořit zdroj adres
The connection could not be established.	Spojení nelze navázat.
Please check the settings made for the data source.	Zkontrolujte nastavení zdroje dat.
Address Data - Field Assignment	Položky adresy - přiřazení polí
"There are no fields assigned at this time.
You can either assign fields now or do so later by first choosing:
""File - Template - Address Book Source..."""	"Nejsou přiřazena žádná pole.
Je možné je přiřadit nyní a nebo kdykoliv později z nabídky:
""Soubor - Šablony - Zdroj adresáře..."""
Database Field	Databázové pole
Table	Tabulka
Query	Dotaz
SQL command	SQL příkaz
Group Element Wizard	Průvodce seskupením
Table Element Wizard	Průvodce prvkem tabulky
List Box Wizard	Průvodce seznamem
Combo Box Wizard	Průvodce polem se seznamem
The table connection to the data source could not be established.	Spojení tabulky se zdrojem dat nelze navázat.
 (Date)	 (Datum)
 (Time)	 (Čas)
The contents of the field selected will be shown in the combo box list.	Obsah vybraného pole bude zobrazen v poli se seznamem.
The contents of the selected field will be shown in the list box if the linked fields are identical.	Obsah vybraného pole bude zobrazen v seznamu, pokud jsou propojená pole identická.
You can either save the value of the combo box in a database field or use it for display purposes.	Hodnotu vybranou v poli se seznamem je možné buď uložit do pole v databázi, nebo ji použít pro zobrazení.
You can either save the value of the option group in a database field or use it for a later action.	Buď je možné vybranou hodnotu uložit do pole v databázi a nebo ji použít k nějaké další akci.
No	Ne
Yes	Ano
Existing fields	Existující pole
Display field	Zobrazit pole
Data source	Zdroj dat
Content type	Typ obsahu
Content	Obsah
Form	Formulář
"On the right side, you see all the tables from the data source of the form.


Choose the table from which the data should be used as basis for the list content:"	"Na pravé straně se zobrazují všechny tabulky ze zdroje dat formuláře.


Zvolte tabulku, jejíž data mají být použita jako obsah seznamu:"
Control	Ovládací prvek
"That was all the information necessary to integrate your address data into %PRODUCTNAME.

Now, just enter the name under which you want to register the data source in %PRODUCTNAME."	"Nyní jsou zadány všechny údaje potřebné pro integraci stávajících adres do %PRODUCTNAME.

Poslední, co zbývá zadat, je název, pod kterým má být zdroj dat registrován v %PRODUCTNAME."
Embed this address book definition into the current document.	Vložit definici adresáře do aktuálního dokumentu.
Location	Umístění
Browse...	Procházet...
Specifies the location using a file dialog.	Upřesňuje umístění souboru.
Specifies the location of the database file.	Udává umístění databázového souboru.
Make this address book available to all modules in %PRODUCTNAME.	Povolit přístup k tomuto adresáři ze všech modulů %PRODUCTNAME.
Registers the newly created database file in %PRODUCTNAME. The database will then be listed in the Data sources pane (Ctrl+Shift+F4). If this check box is cleared, the database will be available only by opening the database file.	Zaregistruje nově vytvořenou databázi v %PRODUCTNAME. Databáze bude potom zobrazena v panelu Zdroje dat (Ctrl+Shift+F4). Pokud toto pole není zaškrtnuté, databáze bude dostupná pouze spuštěním souboru s databází.
Address book name	Název adresáře
Specifies the data source name.	Upřesní název zdroje dat.
Another data source already has this name. As data sources have to have globally unique names, you need to choose another one.	Tento název již používá jiný zdroj dat. Jelikož zdroje dat musí mít unikátní názvy, musíte zvolit jiný.
Specifies a location for the address book file and a name under which the data source will be listed in the data source explorer.	Upřesňuje umístění souboru s adresářem a název, pod kterým bude zdroj dat zobrazen v prohlížeči zdrojů dat.
Should one option field be selected as a default?	Má být jedno pole volby vybrané jako výchozí?
Yes, the following:	Ano, následující:
No, one particular field is not going to be selected.	Ne, žádné pole nebude vybráno.
"To incorporate the address data in your templates, %PRODUCTNAME has to know which fields contain which data.

For instance, you could have stored the email addresses in a field named ""email"", or ""E-mail"" or ""EM"" - or something completely different.

Click the button below to open another dialog where you can enter the settings for your data source."	"Pro využití adres v šablonách %PRODUCTNAME je nutné nastavit, která pole obsahují jaká data.

E-mailové adresy můžete mít například uloženy v poli s názvem ""email"", ""E-mail"", ""EM"" nebo nějakým úplně jiným.

Klepnutím na níže uvedené tlačítko otevřete dialogové okno, ve kterém můžete přiřazení polí pro zdroj dat nastavit."
Field Assignment	Přiřazení polí
Opens the Templates: Address Book Assignment dialog.	Otevře dialog Šablony: Přiřazení adresáře.
Opens a dialog that allows you to specify the field assignment.	Otevře dialogové okno umožňující upřesnit přiřazení pole.
This is where you select fields with matching contents so that the value from the display field will be shown.	Zde vybíráte pole s odpovídajícím obsahem tak, aby se ukázala hodnota z pole zobrazení.
Field from the Value Table	Pole z tabulky hodnot
Field from the List Table	Pole z tabulky seznamu
Data source	Zdroj dat
Content type	Typ obsahu
Content	Obsah
Form	Formulář
Selected fields	Vybraná pole
->	->
=>>	=>>
<-	<-
<<=	<<=
Existing fields	Existující pole
Table Element	Prvek tabulky
Data source	Zdroj dat
Content type	Typ obsahu
Content	Obsah
Form	Formulář
Option fields	Pole voleb
>>	>>
<<	<<
Which names do you want to give the option fields?	Jaké názvy si přejete přiřadit jednotlivým volbám?
Table Element	Prvek tabulky
"To set up the new data source, additional information is required.

Click the following button to open another dialog in which you then enter the necessary information."	"Pro vytvoření nového zdroje dat je třeba poskytnout další informace.

Klepnutím na tlačítko otevřete dialog, ve kterém zadáte potřebné upřesňující informace."
Settings	Nastavení
Calls a dialog in which you can enter additional settings.	Otevře dialog, ve kterém je možné zadat upřesňující nastavení.
"The connection to the data source could not be established.
Before you proceed, please check the settings made, or (on the previous page) choose another address data source type."	"Nepodařilo se navázat spojení se zdrojem dat.
Než budete pokračovat, zkontrolujte nastavení, nebo (na předchozí stránce) zvolte jiný typ zdroje adres."
Allows you to enter additional settings for LDAP address data and other external data sources.	Umožní upřesnit pokročilá nastavení pro adresy LDAP a další externí zdroje dat.
Do you want to save the value in a database field?	Přejete si uložit hodnotu do databázového pole?
Yes, I want to save it in the following database field:	Ano, chci ji uložit do tohoto pole v databázi:
No, I only want to save the value in the form.	Ne, hodnota bude uložena jen ve formuláři.
Which caption is to be given to your option group?	Jaký popisek se má dát k této skupině voleb?
These were all details needed to create the option group.	Toto jsou všechny informace potřebné pro vytvoření pole voleb.
When you select an option, the option group is given a specific value.	Pokud vyberete jednu z voleb, celá skupina získá určitou hodnotu.
Which value do you want to assign to each option?	Jaké hodnoty si přejete přiřadit jednotlivým volbám?
Option fields	Pole voleb
"The external data source you have chosen contains more than one address book.
Please select the one you mainly want to work with:"	"Externí zdroj dat, který jste zvolili, obsahuje více adresářů.
Zvolte ten, se kterým budete pracovat nejčastěji:"
Specifies the table that is to serve as the address book for the %PRODUCTNAME templates.	Určuje tabulku, která bude sloužit jako adresář v šablonách %PRODUCTNAME.
Specifies a table from the Seamonkey / Netscape address book source that is used as the address book in %PRODUCTNAME.	Určuje tabulku ze zdroje adresáře aplikací Seamonkey/Netscape, která bude použita jako adresář v %PRODUCTNAME.
"%PRODUCTNAME lets you access address data already present in your system. To do this, a %PRODUCTNAME data source will be created in which your address data is available in tabular form.

This wizard helps you create the data source."	"%PRODUCTNAME umožňuje používat databázi adres, která již ve vašem systému existuje. Pokud využijete tuto možnost, %PRODUCTNAME vytvoří nový zdroj dat, který bude obsahovat tabulku vašich adres.

Tento průvodce vám usnadní vytvoření tohoto zdroje dat."
Evolution	Evolution
Select this option if you already use an address book in Evolution.	Pokud používáte adresář v aplikaci Evolution, zvolte tuto možnost.
Groupwise	Groupwise
Select this option if you already use an address book in Groupwise.	Pokud používáte adresář Groupwise, zvolte tuto možnost.
Evolution LDAP	Evolution LDAP
Select this option if you already use an address book in Evolution LDAP.	Pokud používáte adresář v Evolution LDAP, zvolte tuto možnost.
Thunderbird	Thunderbird
Select this option if you already use an address book in Thunderbird or Icedove.	Pokud používáte adresář v aplikacích Thunderbird nebo Icedove, zvolte tuto možnost.
KDE address book	Adresář KDE
Select this option if you already use an address book in KDE Address book.	Pokud používáte adresář prostředí KDE, zvolte tuto možnost.
Mac OS X address book	Adresář Mac OS X
Select this option if you already use an address book in macOS Address book.	Pokud používáte adresář v macOS, zvolte tuto možnost.
Other external data source	Jiný externí zdroj dat
Select this option if you want to register another data source as address book in %PRODUCTNAME.	Pokud si přejete zaregistrovat jako adresář v %PRODUCTNAME jiný zdroj dat, zvolte tuto možnost.
Select the type of your external address book:	Vyberte typ externího adresáře:
This wizard registers an existing address book as a data source in %PRODUCTNAME.	Tento průvodce zaregistruje existující adresář jako zdroj dat %PRODUCTNAME.
"Currently, the form the control belongs to is not (or not completely) bound to a data source.

Please choose a data source and a table.


Please note that the settings made on this page will take effect immediately upon leaving the page."	"Formulář, ke kterému ovládací prvek náleží, není aktuálně propojen s žádným zdrojem dat.

Vyberte zdroj dat a tabulku.


Nastavení provedená na této stránce se projeví okamžitě po jejím opuštění."
Data source:	Zdroj dat:
...	...
Table / Query:	Tabulka/dotaz:
Data	Data
Choose Data Source	Vybrat zdroj dat
Entry	Položka
Table	Tabulka
Search Key	Vyhledávací klíč
Short name	Krátký název
Type	Typ
Author(s)	Autoři
Publisher	Vydavatel
Chapter	Kapitola
Title	Titul
Address	Adresa
Page(s)	Stránky
Year	Rok
ISBN	ISBN
Editor	Redaktor
Book title	Název knihy
Edition	Vydání
Volume	Svazek
Institution	Instituce
Month	Měsíc
Publication type	Typ publikace
University	Univerzita
Type of report	Typ zprávy
Organization	Organizace
Journal	Časopis
Annotation	Anotace
Number	Číslo
Note	Poznámka
Series	Edice
URL	URL
User-defined field 1	Uživatelem definované pole 1
User-defined field 4	Uživatelem definované pole 4
User-defined field 2	Uživatelem definované pole 2
User-defined field 5	Uživatelem definované pole 5
User-defined field 3	Uživatelem definované pole 3
Insert, delete, edit, and organize records in the bibliography database.	Vkládání, mazání, úpravy a správa záznamů v databázi použité literatury.
Column Layout for Table “%1”	Rozvržení sloupců pro tabulku „%1“
Short name	Krátký název
Author(s)	Autoři
Publisher	Vydavatel
Chapter	Kapitola
Editor	Redaktor
Type	Typ
Year	Rok
Title	Titul
Address	Adresa
ISBN	ISBN
Page(s)	Stránky
Edition	Vydání
Book title	Název knihy
Volume	Svazek
Publication type	Typ publikace
Organization	Organizace
Institution	Instituce
University	Univerzita
Type of report	Typ zprávy
Month	Měsíc
Journal	Časopis
Number	Číslo
Series	Edice
Annotation	Anotace
Note	Poznámka
URL	URL
User-defined field 1	Uživatelem definované pole 1
User-defined field 2	Uživatelem definované pole 2
User-defined field 3	Uživatelem definované pole 3
User-defined field 4	Uživatelem definované pole 4
User-defined field 5	Uživatelem definované pole 5
Column Names	Názvy sloupců
Lets you map the column headings to data fields from a different data source. To define a different data source for your bibliography, click the Data Source button on the record's Object bar.	Dovoluje přiřadit záhlaví sloupců datovým polím z jiného zdroje dat. Chcete-li definovat jiný zdroj dat pro seznam použité literatury, klepněte na tlačítko Zdroj dat na liště Objekt.
Do not show this question again.	Tuto otázku již nezobrazovat.
Data Source	Zdroj dat
AutoFilter	Automatický filtr
Standard Filter	Standardní filtr
Reset Filter	Odstranit filtr
Column Arrangement	Uspořádání sloupců
Lets you map the column headings to data fields from a different data source. To define a different data source for your bibliography, click the Data Source button on the record's Object bar.	Dovoluje přiřadit záhlaví sloupců datovým polím z jiného zdroje dat. Chcete-li definovat jiný zdroj dat pro seznam použité literatury, klepněte na tlačítko Zdroj dat na liště Objekt.
Insert, delete, edit, and organize records in the bibliography database.	Vkládání, mazání, úpravy a správa záznamů v databázi použité literatury.
Linear ascending	Lineárně stoupající
Linear descending	Lineárně klesající
Original values	Původní hodnoty
Exponential increasing	Exponenciálně rostoucí
Set	Nastavit
Scanner	Skener
About Device	O zařízení
Create Preview	Vytvořit náhled
Scan	Skenovat
Left:	Vlevo:
Top:	Nahoře:
Right:	Vpravo:
Bottom:	Dole:
